"1","Precios","<li><a href=""prices"">Precios</a></li>",,"prices","1","10","2017-05-05 16:59:47","0000-00-00 00:00:00"
"2","Lista de Precios","<li><a href=""prices_list"">Lista de Precios</a></li>",,"prices_list","1","11","2017-05-05 16:59:55","0000-00-00 00:00:00"
"3","Costos Fijos"," <li><a href=""fixed_costs"">Costos Fijos</a></li>",,"fixed_costs","1","12","2017-05-05 17:00:18","0000-00-00 00:00:00"
"4","Costos Variables"," <li><a href=""variable_costs"">Costos Variables</a></li>",,"variable_costs","1","13","2017-05-18 13:19:53","0000-00-00 00:00:00"
"5","Materiales"," <li><a href=""materials"">Materiales</a></li>",,"materials","1","14","2017-05-23 14:01:11","0000-00-00 00:00:00"
"5","Colores"," <li><a href=""colors"">Colores</a></li>",,"colors","1","15","2017-05-23 14:01:11","0000-00-00 00:00:00"
"6","Perfiles","<li><a href=""profile"">Perfiles</a></li>",,"profile","2","2","2017-05-05 16:59:47","0000-00-00 00:00:00"
"7","Usuarios","<li><a href=""users"">Usuarios</a></li>",,"users","2","3","2017-05-05 16:59:55","0000-00-00 00:00:00"
"8","Menús"," <li><a href=""menus"">Menús</a></li>",,"menus","3","5","2017-05-05 17:00:18","0000-00-00 00:00:00"
"9","Submenús"," <li><a href=""submenus"">Submenús</a></li>",,"submenus","3","6","2017-05-18 13:19:53","0000-00-00 00:00:00"
"10","Acciones"," <li><a href=""actions"">Acciones</a></li>",,"actions","3","7","2017-05-23 14:01:11","0000-00-00 00:00:00"
